phenotype_id,trait_label,pgs_id,variants_used,aggregated_effect
MONDO_0005097,squamous cell lung carcinoma,PGS003392,90,9.2204699
MONDO_0005098,stroke disorder,PGS012579,11,0.59802
MONDO_0005100,systemic sclerosis,PGS000341,33,-0.21291872
MONDO_0005101,ulcerative colitis,PGS001306,176,0.094810852
MONDO_0005105,melanoma,PGS000410,7,0.01202386
MONDO_0005129,cataract,PGS001303,480,0.17633884
MONDO_0005130,celiac disease,PGS001300,7,0.40856335
MONDO_0005131,cervical carcinoma,PGS000073,10,3.539803
MONDO_0005133,endometriosis,PGS003447,14,1.402284
MONDO_0005138,lung carcinoma,PGS000156,6,6.3039976
MONDO_0005140,ovarian carcinoma,PGS000158,10,10.754089
MONDO_0005147,type 1 diabetes mellitus,PGS000023,7,7.486
MONDO_0005148,type 2 diabetes mellitus,PGS000849,3,0.30048654
MONDO_0005150,age-related macular degeneration,PGS002269,47,18.907871
MONDO_0005154,liver disorder,PGS001293,92,0.48163503
MONDO_0005155,cirrhosis of liver,PGS000776,9,2.052
MONDO_0005159,prostate carcinoma,PGS000878,4,1.511
MONDO_0005178,osteoarthritis,PGS001290,579,-0.14080585
MONDO_0005180,Parkinson disease,PGS001353,6,2.408
MONDO_0005184,pancreatic ductal adenocarcinoma,PGS002264,49,17.235613
MONDO_0005192,exocrine pancreatic carcinoma,PGS000159,9,9.0939114
MONDO_0005206,renal carcinoma,PGS000161,10,10.458454
MONDO_0005219,breast fibrocystic disease,PGS019532,1,0.034110904
MONDO_0005230,cellulitis,PGS001869,131,0.04261706
MONDO_0005249,pneumonia,PGS019280,144,0.012493746
MONDO_0005252,heart failure,PGS004598,12,0.9193
MONDO_0005265,inflammatory bowel disease,PGS004270,20,0.2237367
MONDO_0005266,diabetic retinopathy,PGS000862,30,-1.438
MONDO_0005271,allergic disease,PGS000867,10,0.94159232
MONDO_0005277,migraine disorder,PGS004797,23,0.012484252
MONDO_0005279,pulmonary embolism,PGS001280,88,0.56941758
MONDO_0005283,retinal disorder,PGS001275,6,0.12678586
MONDO_0005294,peripheral vascular disease,PGS001843,242,0.59580174
MONDO_0005296,sleep apnea syndrome,PGS003217,46,-0.00015522064
MONDO_0005298,osteoporosis,PGS001273,316,-0.054717838
MONDO_0005300,chronic kidney disease,PGS000859,34,-1.2555
MONDO_0005301,multiple sclerosis,PGS004700,2,0.57
MONDO_0005306,ankylosing spondylitis,PGS001267,9,1.2960732
MONDO_0005310,atrial flutter,PGS001263,2087,0.1087809
MONDO_0005315,bone fracture,PGS001921,7965,0.2042624
MONDO_0005324,seasonal allergic rhinitis,PGS001259,348,-0.27507677
MONDO_0005325,radius fracture,PGS001258,365,-0.40091078
MONDO_0005326,sunburn,PGS001257,519,2.9746635
MONDO_0005328,eye disorder,PGS019066,13,0.099374161
MONDO_0005338,open-angle glaucoma,PGS000350,12,12
MONDO_0005342,IgA glomerulonephritis,PGS005282,15,3.5299504
MONDO_0005344,hepatitis B virus infection,PGS018424,4575,-0.97193816
MONDO_0005346,gallstones,PGS001256,876,1.2831914
MONDO_0005349,otosclerosis,PGS001255,213,0.68505476
MONDO_0005350,abdominal aortic aneurysm,PGS000753,29,4.04005
MONDO_0005364,Graves disease,PGS005264,112,36.7286
MONDO_0005365,hearing loss disorder,PGS001253,3098,0.65869762
MONDO_0005375,nasopharyngeal neoplasm,PGS002291,12,-1.5145353
MONDO_0005377,nephrotic syndrome,PGS003354,5,0.81950441
MONDO_0005385,vascular disorder,PGS001847,594,-0.019670767
MONDO_0005386,peripheral arterial disease,PGS005158,19,1.5617402
MONDO_0005393,gout,PGS004222,13,2.445
MONDO_0005397,goiter,PGS018645,390,0.72453093
MONDO_0005399,venous thromboembolism,PGS002794,10,3.8248085
MONDO_0005402,lymphoid leukemia,PGS000645,6,0.002797373
MONDO_0005405,childhood onset asthma,PGS002248,105,104.08
MONDO_0005406,gestational diabetes,PGS002256,4,5.122
MONDO_0005412,duodenal ulcer,PGS019335,19,0.057398788
MONDO_0005416,osteoarthritis,PGS002729,24,1.248
MONDO_0005420,hypothyroidism,PGS000759,140,3.9959793
MONDO_0005420+MONDO_0009718,hypothyroidism|myxedema,PGS000965,4524,0.45811012
MONDO_0005447,testicular cancer,PGS000596,5,0.00502043
MONDO_0005447+MONDO_0010108,testicular cancer|testicular germ cell tumor,PGS000086,52,12.311205
MONDO_0005494,triple-negative breast carcinoma,PGS004890,25,0.55
MONDO_0005515,oral cavity cancer,PGS000357,45,0.044488765
MONDO_0005515+MONDO_0005517,oral cavity cancer|pharynx cancer,PGS000081,14,3.361787
MONDO_0005554,rheumatic disorder,PGS019717,1097,0.91896188
MONDO_0005570,hematologic disorder,PGS001136,30,-0.2341954
MONDO_0005575,colorectal cancer,PGS000151,14,14
MONDO_0005578,arthritic joint disease,PGS001135,1026,0.092070012
MONDO_0005609,herpes zoster,PGS001131,81,-0.12174201
MONDO_0005649,appendicitis,PGS001369,4,-0.053131352
MONDO_0005836,male reproductive organ cancer,PGS000593,45,-0.02660325
MONDO_0005937,REM sleep behavior disorder,PGS003414,47,5.2954
MONDO_0006003,uterine corpus cancer,PGS003740,16,1.973
MONDO_0006004+MONDO_0011786,vasomotor rhinitis|allergic rhinitis,PGS001109,1907,-0.8643635
MONDO_0006011,viral hepatitis,PGS018419,1584,-0.38619403
MONDO_0006031,chronic rhinosinusitis,PGS019270,16,0.012601838
MONDO_0006107,benign thyroid gland neoplasm,PGS018635,90,0.36493496
MONDO_0006181,digestive system carcinoma,PGS004320,16,2.547156
MONDO_0006244,HER2 positive breast carcinoma,PGS000215,330,2.046602
MONDO_0006512,estrogen-receptor positive breast cancer,PGS005105,44,4.5864
MONDO_0006513,estrogen-receptor negative breast cancer,PGS005106,24,3.2628
MONDO_0006611,skin sarcoidosis,PGS001872,79,0.62761247
MONDO_0006626,diabetic neuropathy,PGS018734,669,0.1402498
MONDO_0006629,osteoarthritis,PGS002728,44,8.726
MONDO_0006644,alcoholic liver cirrhosis,PGS001777,3,1.7725
MONDO_0006814,iritis,PGS000966,,
MONDO_0006816,arthropathy,PGS019682,5,0.12508026
MONDO_0006953,Rh isoimmunization,PGS001868,30,2.8738201
MONDO_0007009+MONDO_0008171,ureterolithiasis|nephrolithiasis,PGS001250,341,-0.095518682
MONDO_0007079,alcohol dependence,PGS018961,15,-0.044923219
MONDO_0007147,obstructive sleep apnea syndrome,PGS003858,6,-0.15210886
MONDO_0007179,autoimmune disease,PGS002580,206,-0.57536249
MONDO_0007254,breast cancer,PGS018530,3475,0.74772052
MONDO_0007319,chondrocalcinosis 2,PGS018816,7370,-1.0114621
MONDO_0007576,esophageal cancer,PGS018475,5,-0.21108098
MONDO_0007642,isolated agenesis of gallbladder,PGS019395,94,0.28118785
MONDO_0007699,Hashimoto thyroiditis,PGS005270,55,6.6743
MONDO_0007886,uterine corpus leiomyoma,PGS001032,161,0.030693784
MONDO_0007915,systemic lupus erythematosus,PGS003757,,
MONDO_0008315,prostate cancer,PGS003418,7,2.512379
MONDO_0008375,retinal detachment,PGS001137,321,0.19056275
MONDO_0008383,rheumatoid arthritis,PGS001311,2,0.13018442
MONDO_0008420,seborrheic keratosis,PGS001140,1367,-0.14809549
MONDO_0008661,vitiligo,PGS000760,42,3.0728275
MONDO_0009387,familial lipoprotein lipase deficiency,PGS018806,26,-0.90523684
MONDO_0009693,plasma cell myeloma,PGS000654,21,4.5863324
MONDO_0009891,acquired polycythemia vera,PGS001810,67,1.6262684
MONDO_0010030,Sjogren syndrome,PGS001308,7,0.25907651
MONDO_0010138,thyrotoxicosis,PGS001042,221,0.5272709
MONDO_0010811,benign prostatic hyperplasia,PGS001338,1222,-0.2683933
MONDO_0011122,obesity disorder,PGS003400,97,2.5142
MONDO_0011429,juvenile idiopathic arthritis,PGS000114,26,0.094331669
MONDO_0011849,psoriatic arthritis,PGS000343,,
MONDO_0011962,endometrial cancer,PGS002300,19,2.5631347
MONDO_0012672,cholelithiasis,PGS012582,13,0.098602
MONDO_0013209,metabolic dysfunction-associated steatotic liver disease,PGS000872,5,0.3061
MONDO_0013600,insomnia,PGS003320,147,-0.30548115
MONDO_0015075,thyroid gland carcinoma,PGS000633,5,2.0826653
MONDO_0015129,chronic primary adrenal insufficiency,PGS004239,11,3.4271
MONDO_0015263,Brugada syndrome,PGS000737,3,0.07
MONDO_0015486,keratoconus,PGS002292,36,1.228
MONDO_0015722,congenital vitamin K-dependent coagulation factors deficiency,PGS001826,45,-1.8072846
MONDO_0015925,interstitial lung disease,PGS001251,57,0.64170376
MONDO_0016158,narcolepsy-cataplexy syndrome,PGS000757,5,5
MONDO_0017376,reactive arthritis,PGS001110,5,-0.03454368
MONDO_0017604,marginal zone lymphoma,PGS003451,2,1.4730224
MONDO_0018102,corneal dystrophy,PGS001835,38,1.9477332
MONDO_0018177,glioblastoma,PGS003384,910,23.633016
MONDO_0018905,diffuse large B-cell lymphoma,PGS003454,5,1.723124
MONDO_0018906,follicular lymphoma,PGS002304,6,1.6920407
MONDO_0018908,non-Hodgkin lymphoma,PGS000642,10,3.5013214
MONDO_0019086,carcinoma of esophagus,PGS005160,11,0.315
MONDO_0019254,inborn disorder of purine or pyrimidine metabolism,PGS018839,89,0.49525929
MONDO_0019338,sarcoidosis,PGS000922,10,-0.23682414
MONDO_0019432,rheumatoid factor-negative juvenile idiopathic arthritis,PGS000326,12,0.036130065
MONDO_0019433,oligoarticular juvenile idiopathic arthritis,PGS000325,21,0.086530148
MONDO_0019437,enthesitis-related juvenile idiopathic arthritis,PGS000324,138,0.20825013
MONDO_0019735,polymyalgia rheumatica,PGS001051,64,-0.054522053
MONDO_0020283,uveitis,PGS019061,20,1.333591
MONDO_0020804,basal cell carcinoma,PGS000450,8,0.004351719
MONDO_0021040,pancreatic neoplasm,PGS003742,19,3.195
MONDO_0021042,glioma,PGS000155,19,18.59311
MONDO_0021042+MONDO_0021211,glioma|brain neoplasm,PGS000781,5,1.2326849
MONDO_0021068,ovarian neoplasm,PGS000547,6,-0.4156
MONDO_0021100,breast neoplasm,PGS019537,7018,0.77927291
MONDO_0021107,narcolepsy,PGS000926,4194,-0.084841447
MONDO_0021115,luminal B breast carcinoma,PGS000214,330,2.8417749
MONDO_0021116,luminal A breast carcinoma,PGS000212,330,2.13
MONDO_0021146,headache disorder,PGS001928,5709,0.22155108
MONDO_0021148,female reproductive system neoplasm,PGS000543,8,0.03861678
MONDO_0021187,hyperlipidemia,PGS018811,594,-0.2735376
MONDO_0021211,brain neoplasm,PGS003737,26,4.995
MONDO_0021315,malignant tumor of nasopharynx,PGS018470,211,0.034769074
MONDO_0021398+MONDO_0060766,polyp of rectum|anal polyp,PGS001859,789,0.12369868
MONDO_0021698,alcohol-related disorders,PGS018956,30,-0.11771096
MONDO_0022394,cervical intraepithelial neoplasia,PGS018550,21,-0.089316704
MONDO_0024331,colorectal carcinoma,PGS003386,61,0.84676907
MONDO_0024355,respiratory tract infectious disorder,PGS000925,400,0.073945911
MONDO_0024431,bilirubin metabolism disease,PGS001824,22,3.4931476
MONDO_0024431+MONDO_0037821,bilirubin metabolism disease|porphyrin metabolism disease,PGS000924,5,2.427714
MONDO_0024644,myocardial ischemia,PGS000962,2166,1.3487169
MONDO_0024647,urolithiasis,PGS001864,5599,1.1845739
MONDO_0024881,secondary malignant neoplasm,PGS018600,1,-0.028264779
MONDO_0026045,prurigo nodularis,PGS004324,6314,2576.656
MONDO_0043765,presbycusis,PGS000763,4270,-0.25243458
MONDO_0056798,disorder of appendix,PGS001853,19,0.012320721
MONDO_0100096,COVID-19,PGS002272,6,2.0006922
MONDO_0100280,Waldenstrom macroglobulinemia,PGS003452,2,4.6404022
OBA_0000173,urinary volume,PGS019473,2608,-0.03903484
OBA_0002272,reticulocyte amount,PGS000989,6251,0.4109705
OBA_0002313,strand of hair color,PGS001097,21,0.72594726
OBA_0003277,platelet volume,PGS000179,654,25.909497
OBA_0003460,erythrocyte volume,PGS000176,685,25.675132
OBA_0003747,glomerular filtration rate,PGS005318,49,-0.0791
OBA_0003747+OBA_1001005,glomerular filtration rate|creatine level,PGS003250,108,-0.2433
OBA_0005494,aging rate,PGS001072,39,0.25078477
OBA_1000110,bone tissue density,PGS000122,33,33
OBA_1000840,alcohol consumption quality,PGS002826,19,0.2266164
OBA_1000968,vitamin D level,PGS003180,5,-0.598895
OBA_1000983,Thyroid stimulating hormone level,PGS012585,59,1.2575
OBA_1001005,creatine level,PGS003245,3503,277.40866
OBA_1001010,thyroxine level,PGS004907,31,0.309
OBA_1001015,folic acid level,PGS001153,3,0.018302559
OBA_1001085,waist circumference,PGS019956,91,2.4429
OBA_1001085+PATO_0000383,waist circumference|female,PGS000828,149,0.816
OBA_1001085+PATO_0000384,waist circumference|male,PGS000827,113,0.267
OBA_1001086,QRS duration,PGS000736,26,-2.37
OBA_1001087,heart rate,PGS000300,80,-2.4991
OBA_2040171,sleep duration trait,PGS003764,78,80.94
OBA_2045215,menstrual cycle attribute,PGS001913,339,0.25008696
OBA_2045221,bowel opening frequency,PGS001376,845,0.09040479
OBA_2045224,visceral adipose tissue quantity,PGS000844,518,-0.35127365
OBA_2045237,dentate gyrus volume,PGS003594,12,0.0116213
OBA_2045244,hippocampal formation volume,PGS003653,19,-0.228627
OBA_2050005,parasubiculum volume,PGS003698,1050,1.999535
OBA_2050015,kidney volume,PGS019479,2076,-0.058371111
OBA_2050024,subiculum volume,PGS003717,15,0.051304
OBA_2050043,hippocampal fissure volume,PGS003646,3822,3.7858509
OBA_2050049,presubiculum volume,PGS003705,98,-0.022133
OBA_2050050,hippocampus molecular layer volume,PGS003686,6,0.09215
OBA_2050062,serum alanine aminotransferase amount,PGS003342,51,1.5024
OBA_2050084,serum IgE amount,PGS000315,7,-0.03
OBA_2050095,urine potassium amount,PGS000693,2423,-0.027811059
OBA_2050116,smoking behavior trait,PGS001388,1,0.03312251
OBA_2050117,reproductive behavior trait,PGS002585,12,0.0009194722
OBA_2050130,insulin-like protein level,PGS002295,413,0.266
OBA_2050200,prostate specific antigen amount,PGS005107,111,0.4635
OBA_VT0000188,blood glucose amount,PGS002925,13,-0.114
OBA_VT0000217,leukocyte quantity,PGS000191,636,17.14771
OBA_VT0000254,cerebrospinal fluid amount,PGS001070,880,5455.2859
OBA_VT0001253,body height,PGS003837,49,-2.918094
OBA_VT0001560,blood insulin amount,PGS000307,12,0.201446
OBA_VT0002460,blood immunoglobulin amount,PGS001772,156,652.19716
OBA_VT0003564,insulin secretion trait,PGS000871,14,1.6216804
OBA_VT0005265,blood urea nitrogen amount,PGS019792,7043,0.051635443
OBA_VT0005372,life span determination trait,PGS002795,4,0.5127
OBA_VT0005416,blood protein amount,PGS001081,9,262.21205
OBA_VT0010046,fatty acid amount,PGS012572,163,-9.0893369
